Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1254,2-STORY 1946 & NEWER,Residential Low Density,,17542,Paved,,Slightly Irregular,Near Flat/Level,All Public Utilities,Inside Lot,Gentle Slope,Veenker,Normal,Normal,Single-Family Detached,Two Story,Good,Good,1974,2003,Gable,Standard Shingle,Wood Siding,Wood Siding,,0.0,Good,Average/Typical,Cinder Block,Typical (80-89 inches),Typical,Good Exposure,Low Quality,125,Average Living Quarters,1031,36,1192,Gas Forced Warm Air Furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1516,651,0,2167,1,0,2,1,3,1,Good,9,Typical Functionality,2,Good - Masonry Fireplace,Attached,1974.0,Rough Finished,2,518,Typical/Average,Typical/Average,Paved,220,47,0,0,0,0,,Minimum Privacy,,0,7,2007,Warranty Deed - Conventional,Normal Sale,294000
1255,2-STORY 1946 & NEWER,Residential Low Density,60.0,6931,Paved,,Regular,Near Flat/Level,All Public Utilities,Inside Lot,Gentle Slope,Edwards,Normal,Normal,Single-Family Detached,Two Story,Good,Average,2003,2004,Gable,Standard Shingle,Vinyl Siding,Vinyl Siding,Stone,92.0,Good,Average/Typical,Poured Concrete,Good (90-99 inches),Typical,No Exposure,Unfinished,0,Unfinished,0,746,746,Gas Forced Warm Air Furnace,Excellent,Yes,Standard Circuit Breakers & Romex,760,896,0,1656,0,0,2,1,3,1,Good,7,Typical Functionality,1,Good - Masonry Fireplace,Built-In Garage,2003.0,Finished,2,397,Typical/Average,Typical/Average,Paved,178,128,0,0,0,0,,,,0,7,2008,Warranty Deed - Conventional,Normal Sale,165400
1256,1-1/2 STORY FINISHED ALL AGES,Residential Medium Density,52.0,6240,Paved,,Regular,Near Flat/Level,All Public Utilities,Inside Lot,Gentle Slope,Brookside,Normal,Normal,Single-Family Detached,One and One-Half Story (Finished),Above Average,Above Average,1931,1950,Gable,Standard Shingle,Wood Siding,Wood Siding,,0.0,Average/Typical,Average/Typical,Brick & Tile,Typical (80-89 inches),Fair,No Exposure,Low Quality,425,Unfinished,0,459,884,Gas Forced Warm Air Furnace,Average/Typical,Yes,Fuse Box over 60 AMP,959,408,0,1367,0,0,1,0,3,1,Typical/Average,6,Typical Functionality,1,Good - Masonry Fireplace,Detached,1978.0,Unfinished,1,560,Typical/Average,Typical/Average,Paved,0,0,0,0,120,0,,,,0,11,2007,Warranty Deed - Conventional,Normal Sale,127500
1257,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,91.0,14303,Paved,,Slightly Irregular,Near Flat/Level,All Public Utilities,Corner Lot,Gentle Slope,Northridge,Normal,Normal,Single-Family Detached,One Story,Very Good,Average,1994,1994,Hip,Standard Shingle,Hard Board,Hard Board,Brick Face,554.0,Good,Average/Typical,Poured Concrete,Good (90-99 inches),Typical,Good Exposure,Good Living Quarters,1314,Unfinished,0,672,1986,Gas Forced Warm Air Furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1987,0,0,1987,1,0,2,0,2,1,Good,7,Typical Functionality,1,Average - Prefabricated Fireplace,Attached,1994.0,Finished,2,691,Typical/Average,Typical/Average,Paved,262,36,0,0,0,0,,,,0,8,2008,Warranty Deed - Conventional,Normal Sale,301500
1258,1-STORY 1945 & OLDER,Residential Low Density,56.0,4060,Paved,,Regular,Near Flat/Level,All Public Utilities,Corner Lot,Gentle Slope,Edwards,Adjacent to Feeder Street,Normal,Single-Family Detached,One Story,Average,Very Good,1922,1950,Gable,Standard Shingle,Wood Siding,Wood Siding,,0.0,Average/Typical,Average/Typical,Poured Concrete,Fair (70-79 inches),Typical,No Exposure,Unfinished,0,Unfinished,0,864,864,Gas Forced Warm Air Furnace,Excellent,Yes,Standard Circuit Breakers & Romex,864,0,0,864,0,0,1,0,2,1,Typical/Average,4,Typical Functionality,0,,,,,0,0,,,Paved,0,96,0,0,0,0,,,,0,7,2009,Warranty Deed - Conventional,Normal Sale,99900
1259,SPLIT OR MULTI-LEVEL,Residential Low Density,59.0,9587,Paved,,Slightly Irregular,Near Flat/Level,All Public Utilities,Inside Lot,Gentle Slope,Gilbert,Normal,Normal,Single-Family Detached,Split Level,Good,Average,2005,2005,Gable,Standard Shingle,Vinyl Siding,Vinyl Siding,Stone,182.0,Good,Average/Typical,Poured Concrete,Good (90-99 inches),Typical,Good Exposure,Good Living Quarters,655,Unfinished,0,201,856,Gas Forced Warm Air Furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1166,0,0,1166,1,0,2,0,2,1,Good,5,Typical Functionality,0,,Attached,2005.0,Finished,2,400,Typical/Average,Typical/Average,Paved,212,0,0,0,0,0,,,,0,7,2008,Warranty Deed - Conventional,Normal Sale,190000
1260,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,65.0,9750,Paved,,Regular,Near Flat/Level,All Public Utilities,Frontage on 2 Sides,Gentle Slope,,Normal,Normal,Single-Family Detached,One Story,Above Average,Very Good,1969,1969,Gable,Standard Shingle,Hard Board,Hard Board,,0.0,Average/Typical,Average/Typical,Cinder Block,Good (90-99 inches),Typical,No Exposure,Average Living Quarters,602,Low Quality,438,14,1054,Gas Forced Warm Air Furnace,Good,Yes,Standard Circuit Breakers & Romex,1054,0,0,1054,1,0,1,1,3,1,Typical/Average,6,Typical Functionality,0,,Attached,1969.0,Unfinished,2,460,Typical/Average,Typical/Average,Paved,180,0,0,0,80,0,,,,0,7,2008,Warranty Deed - Conventional,Normal Sale,151000
1261,2-STORY 1946 & NEWER,Residential Low Density,,24682,Paved,,Irregular,Near Flat/Level,All Public Utilities,Cul-de-sac,Gentle Slope,Gilbert,Adjacent to N-S Railroad,Normal,Single-Family Detached,Two Story,Above Average,Average,1999,1999,Gable,Standard Shingle,Vinyl Siding,Vinyl Siding,,0.0,Average/Typical,Average/Typical,Poured Concrete,Good (90-99 inches),Typical,No Exposure,Unfinished,0,Unfinished,0,841,841,Gas Forced Warm Air Furnace,Excellent,Yes,Standard Circuit Breakers & Romex,892,783,0,1675,0,0,2,1,3,1,Typical/Average,7,Typical Functionality,1,Average - Prefabricated Fireplace,Built-In Garage,1999.0,Finished,2,502,Typical/Average,Typical/Average,Paved,0,103,0,0,0,0,,,,0,6,2009,Warranty Deed - Conventional,Normal Sale,181000
1262,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,80.0,9600,Paved,,Regular,Near Flat/Level,All Public Utilities,Inside Lot,Gentle Slope,,Normal,Normal,Single-Family Detached,One Story,Average,Above Average,1956,1956,Hip,Standard Shingle,Metal Siding,Metal Siding,,0.0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical,No Exposure,Average Rec Room,504,Unfinished,0,546,1050,Gas Forced Warm Air Furnace,Good,Yes,Standard Circuit Breakers & Romex,1050,0,0,1050,0,0,1,0,2,1,Typical/Average,5,Typical Functionality,0,,Attached,1956.0,Unfinished,1,338,Typical/Average,Typical/Average,Paved,0,0,0,0,0,0,,,,0,6,2009,Warranty Deed - Conventional,Normal Sale,128900
1263,1-1/2 STORY FINISHED ALL AGES,Residential Low Density,,11250,Paved,,Regular,Near Flat/Level,All Public Utilities,Inside Lot,Gentle Slope,Clear Creek,Normal,Normal,Single-Family Detached,One and One-Half Story (Finished),Below Average,Average,1957,1989,Gable,Standard Shingle,Wood Siding,Wood Siding,,0.0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical,Average Exposure,Unfinished,0,Unfinished,0,1104,1104,Gas Forced Warm Air Furnace,Excellent,Yes,Fuse Box over 60 AMP,1104,684,0,1788,1,0,1,0,5,1,Typical/Average,8,Minor Deductions 2,2,Average - Prefabricated Fireplace,Attached,1957.0,Unfinished,1,304,Typical/Average,Typical/Average,Paved,120,0,0,0,0,0,,,,0,11,2009,Warranty Deed - Conventional,Normal Sale,161500
1264,2-STORY 1945 & OLDER,Residential Low Density,60.0,13515,Paved,Paved,Regular,Near Flat/Level,All Public Utilities,Inside Lot,Gentle Slope,Brookside,Normal,Normal,Single-Family Detached,Two Story,Above Average,Above Average,1919,1950,Gambrel (Barn),Standard Shingle,Wood Siding,Wood Siding,,0.0,Average/Typical,Average/Typical,Poured Concrete,Typical (80-89 inches),Typical,No Exposure,Unfinished,0,Unfinished,0,764,764,Gas Forced Warm Air Furnace,Excellent,Yes,Fuse Box over 60 AMP,1060,764,0,1824,0,0,1,0,3,1,Typical/Average,8,Typical Functionality,1,Good - Masonry Fireplace,Detached,1940.0,Unfinished,2,520,Typical/Average,Typical/Average,Dirt/Gravel,0,0,126,0,0,0,,Good Privacy,,0,7,2007,Warranty Deed - Conventional,Normal Sale,180500
1265,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential High Density,34.0,4060,Paved,,Regular,Near Flat/Level,All Public Utilities,Inside Lot,Gentle Slope,,Normal,Normal,Townhouse End Unit,One Story,Above Average,Average,1998,1999,Gable,Standard Shingle,Metal Siding,Metal Siding,,0.0,Good,Average/Typical,Poured Concrete,Good (90-99 inches),Typical,No Exposure,Good Living Quarters,266,Unfinished,0,1139,1405,Gas Forced Warm Air Furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1337,0,0,1337,1,0,2,0,2,1,Good,5,Typical Functionality,0,,Attached,1998.0,Finished,2,511,Typical/Average,Typical/Average,Paved,144,68,0,0,0,0,,,,0,8,2008,Court Officer Deed/Estate,Abnormal Sale,181000
1266,2-STORY PUD - 1946 & NEWER,Floating Village Residential,35.0,3735,Paved,,Regular,Near Flat/Level,All Public Utilities,Frontage on 3 Sides,Gentle Slope,Somerset,Normal,Normal,Townhouse End Unit,Two Story,Good,Average,1999,1999,Hip,Standard Shingle,Metal Siding,Metal Siding,Brick Face,218.0,Good,Average/Typical,Poured Concrete,Good (90-99 inches),Typical,No Exposure,Good Living Quarters,450,Unfinished,0,241,691,Gas Forced Warm Air Furnace,Excellent,Yes,Standard Circuit Breakers & Romex,713,739,0,1452,1,0,2,1,3,1,Good,6,Typical Functionality,0,,Detached,1999.0,Unfinished,2,506,Typical/Average,Typical/Average,Paved,0,34,0,0,0,0,,,,0,3,2006,Warranty Deed - Conventional,Normal Sale,183900
1267,2 FAMILY CONVERSION - ALL STYLES AND AGES,Residential Medium Density,60.0,10120,Paved,,Slightly Irregular,Banked,All Public Utilities,Inside Lot,Gentle Slope,Old Town,Adjacent to Feeder Street,Normal,,Two and One-Half Story (Unfinished),Good,Below Average,1910,1950,Hip,Standard Shingle,Wood Siding,Wood Siding,,0.0,Fair,Average/Typical,Cinder Block,Typical (80-89 inches),Typical,No Exposure,Unfinished,0,Unfinished,0,925,925,Gas Forced Warm Air Furnace,Average/Typical,No,60 AMP Fuse Box,964,925,0,1889,0,0,1,1,4,2,Typical/Average,9,Typical Functionality,1,Good - Masonry Fireplace,Detached,1960.0,Unfinished,1,308,Typical/Average,Typical/Average,Dirt/Gravel,0,0,264,0,0,0,,Minimum Privacy,,0,1,2007,Warranty Deed - Conventional,Normal Sale,122000
1268,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,89.0,13214,Paved,,Slightly Irregular,Hillside,All Public Utilities,Inside Lot,Gentle Slope,Timberland,Normal,Normal,Single-Family Detached,One Story,Excellent,Average,2008,2009,Hip,Standard Shingle,Stucco,,,0.0,Excellent,Average/Typical,Poured Concrete,Excellent (100+ inches),Typical,Good Exposure,Unfinished,0,Unfinished,0,2002,2002,Gas Forced Warm Air Furnace,Excellent,Yes,Standard Circuit Breakers & Romex,2018,0,0,2018,0,0,2,0,3,1,Excellent,10,Typical Functionality,1,Good - Masonry Fireplace,Attached,2009.0,Finished,3,746,Typical/Average,Typical/Average,Paved,144,76,0,0,0,0,,,,0,5,2010,Warranty Deed - Conventional,Normal Sale,378500
1269,1-1/2 STORY FINISHED ALL AGES,Residential Low Density,,14100,Paved,,Slightly Irregular,Near Flat/Level,All Public Utilities,Inside Lot,Moderate Slope,Crawford,Normal,Normal,Single-Family Detached,One and One-Half Story (Finished),Very Good,Excellent,1935,1997,Gable,Standard Shingle,Stucco,Stucco,Brick Face,632.0,Average/Typical,Good,Cinder Block,Typical (80-89 inches),Typical,Minimum Exposure,Average Rec Room,192,Unfinished,0,536,728,Gas Forced Warm Air Furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1968,1479,0,3447,0,0,3,1,4,1,Good,11,Typical Functionality,2,Good - Masonry Fireplace,Built-In Garage,1982.0,Unfinished,3,1014,Typical/Average,Typical/Average,Paved,314,12,0,0,0,0,,Good Wood,,0,5,2008,Warranty Deed - Conventional,Normal Sale,381000
1270,1-1/2 STORY FINISHED ALL AGES,Residential Low Density,78.0,11344,Paved,,Regular,Near Flat/Level,All Public Utilities,Inside Lot,Gentle Slope,,Adjacent to Feeder Street,Normal,Single-Family Detached,One and One-Half Story (Finished),Average,Average,1958,1958,Gable,Standard Shingle,Metal Siding,Metal Siding,Brick Face,180.0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical,No Exposure,Below Average Living Quarters,460,Unfinished,0,414,874,Gas Hot Water or Steam Heat,Average/Typical,Yes,Fuse Box over 60 AMP,874,650,0,1524,0,0,1,1,3,1,Typical/Average,7,Typical Functionality,0,,Attached,1958.0,Unfinished,1,315,Typical/Average,Typical/Average,Paved,0,0,0,0,0,0,,Good Wood,,0,7,2007,Warranty Deed - Conventional,Normal Sale,144000
1271,1-STORY W/FINISHED ATTIC ALL AGES,Residential Low Density,,23595,Paved,,Regular,Depression,All Public Utilities,Inside Lot,Severe Slope,Clear Creek,Normal,Normal,Single-Family Detached,One Story,Good,Above Average,1979,1979,Shed,Wood Shakes,Plywood,Plywood,,0.0,Good,Average/Typical,Poured Concrete,Good (90-99 inches),Typical,Good Exposure,Good Living Quarters,1258,Unfinished,0,74,1332,Gas Forced Warm Air Furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1332,192,0,1524,2,0,0,1,0,1,Good,4,Typical Functionality,1,Average - Prefabricated Fireplace,Attached,1979.0,Finished,2,586,Typical/Average,Typical/Average,Paved,268,0,0,0,0,0,,,,0,4,2010,Warranty Deed - Conventional,Normal Sale,260000
1272,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,,9156,Paved,,Slightly Irregular,Near Flat/Level,All Public Utilities,Inside Lot,Gentle Slope,Northwest Ames,Near Positive Off-Site Feature,Normal,Single-Family Detached,One Story,Above Average,Good,1968,1968,Hip,Standard Shingle,Brick Face,Brick Face,,0.0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical,No Exposure,Unfinished,0,Unfinished,0,1489,1489,Gas Forced Warm Air Furnace,Good,Yes,Standard Circuit Breakers & Romex,1489,0,0,1489,0,0,2,0,3,1,Good,7,Typical Functionality,1,Good - Masonry Fireplace,Attached,1968.0,Rough Finished,2,462,Typical/Average,Typical/Average,Paved,0,0,0,0,0,0,,,,0,8,2009,Warranty Deed - Conventional,Normal Sale,185750
1273,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,,13526,Paved,,Slightly Irregular,Near Flat/Level,All Public Utilities,Cul-de-sac,Gentle Slope,Sawyer,Normal,Normal,Single-Family Detached,One Story,Average,Above Average,1965,1965,Hip,Standard Shingle,Hard Board,Plywood,Brick Face,114.0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical,No Exposure,Below Average Living Quarters,560,Low Quality,375,0,935,Gas Forced Warm Air Furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,935,0,0,935,1,0,1,0,3,1,Typical/Average,5,Typical Functionality,0,,Attached,1965.0,Unfinished,1,288,Typical/Average,Typical/Average,Paved,180,0,0,0,0,0,,Minimum Privacy,,0,11,2006,Warranty Deed - Conventional,Normal Sale,137000
1274,SPLIT OR MULTI-LEVEL,Residential Low Density,124.0,11512,Paved,,Slightly Irregular,Near Flat/Level,All Public Utilities,Corner Lot,Gentle Slope,Edwards,Normal,Normal,Single-Family Detached,Split Level,Above Average,Good,1959,2006,Gable,Standard Shingle,Plywood,Plywood,Brick Face,84.0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical,Average Exposure,Average Living Quarters,719,Unfinished,0,300,1019,Gas Forced Warm Air Furnace,Good,Yes,Standard Circuit Breakers & Romex,1357,0,0,1357,1,0,1,0,2,1,Excellent,5,Typical Functionality,1,Good - Masonry Fireplace,Basement Garage,1959.0,Rough Finished,1,312,Typical/Average,Typical/Average,Paved,0,0,0,0,163,0,,Good Privacy,,0,5,2008,Warranty Deed - Conventional,Normal Sale,177000
1275,1-1/2 STORY FINISHED ALL AGES,Residential Low Density,53.0,5362,Paved,,Regular,Near Flat/Level,All Public Utilities,Corner Lot,Gentle Slope,Crawford,Normal,Normal,Single-Family Detached,One and One-Half Story (Finished),Average,Above Average,1910,2003,Gable,Standard Shingle,Wood Siding,,,0.0,Average/Typical,Average/Typical,Poured Concrete,Typical (80-89 inches),Typical,No Exposure,Unfinished,0,Unfinished,0,661,661,Gas Forced Warm Air Furnace,Excellent,Yes,Standard Circuit Breakers & Romex,661,589,0,1250,0,0,2,0,3,1,Typical/Average,8,Typical Functionality,1,Good - Masonry Fireplace,Detached,1985.0,Unfinished,2,552,Typical/Average,Typical/Average,Paved,242,0,81,0,0,0,,,,0,11,2007,Warranty Deed - Conventional,Normal Sale,139000
1276,DUPLEX - ALL STYLES AND AGES,Residential Low Density,95.0,11345,Paved,,Regular,Near Flat/Level,All Public Utilities,Corner Lot,Gentle Slope,,Adjacent to Feeder Street,Normal,,Two Story,Average,Average,1948,1950,Gable,Roll,Asbestos Shingles,Asbestos Shingles,Stone,567.0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical,No Exposure,Average Rec Room,220,Unfinished,0,708,928,Gas Forced Warm Air Furnace,Good,Yes,Fuse Box over 60 AMP,928,992,0,1920,0,0,2,0,4,2,Typical/Average,10,Typical Functionality,0,,Detached,1948.0,Unfinished,2,400,Typical/Average,Fair,Paved,0,0,0,0,0,0,,,,0,7,2007,Warranty Deed - Conventional,Normal Sale,137000
1277,2-STORY 1946 & NEWER,Residential Low Density,,12936,Paved,,Slightly Irregular,Near Flat/Level,All Public Utilities,Cul-de-sac,Gentle Slope,Northwest Ames,Normal,Normal,Single-Family Detached,Two Story,Above Average,Above Average,1972,1972,Gable,Standard Shingle,Hard Board,Plywood,,0.0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Good,No Exposure,Below Average Living Quarters,593,Unfinished,0,130,723,Gas Forced Warm Air Furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,735,660,0,1395,0,1,1,1,3,1,Typical/Average,6,Typical Functionality,1,Average - Prefabricated Fireplace,Attached,1972.0,Unfinished,2,497,Typical/Average,Typical/Average,Paved,294,116,0,0,0,0,,,,0,12,2009,Warranty Deed - Conventional,Normal Sale,162000
1278,SPLIT OR MULTI-LEVEL,Residential Low Density,,17871,Paved,,Slightly Irregular,Near Flat/Level,All Public Utilities,Cul-de-sac,Gentle Slope,Northwest Ames,Normal,Normal,Single-Family Detached,Split Level,Above Average,Average,1967,1976,Gable,Standard Shingle,Hard Board,Hard Board,Brick Face,359.0,Average/Typical,Average/Typical,Cinder Block,Good (90-99 inches),Typical,Average Exposure,Average Living Quarters,528,Unfinished,0,1152,1680,Gas Forced Warm Air Furnace,Fair,Yes,Standard Circuit Breakers & Romex,1724,0,0,1724,1,0,1,1,3,1,Typical/Average,7,Typical Functionality,1,Good - Masonry Fireplace,Attached,1967.0,Rough Finished,2,480,Typical/Average,Typical/Average,Paved,0,0,0,0,0,0,,,,0,6,2009,Warranty Deed - Conventional,Normal Sale,197900
1279,2-STORY 1946 & NEWER,Residential Low Density,75.0,9473,Paved,,Regular,Near Flat/Level,All Public Utilities,Inside Lot,Gentle Slope,College Creek,Normal,Normal,Single-Family Detached,Two Story,Very Good,Average,2002,2002,Gable,Standard Shingle,Vinyl Siding,Vinyl Siding,,,Good,Average/Typical,Poured Concrete,Good (90-99 inches),Typical,No Exposure,Good Living Quarters,804,Unfinished,0,324,1128,Gas Forced Warm Air Furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1128,903,0,2031,1,0,2,1,3,1,Good,7,Typical Functionality,1,Good - Masonry Fireplace,Attached,2002.0,Rough Finished,2,577,Typical/Average,Typical/Average,Paved,0,211,0,0,0,0,,,,0,3,2008,Warranty Deed - Conventional,Normal Sale,237000
1280,1-1/2 STORY FINISHED ALL AGES,,60.0,7500,Paved,,Regular,Near Flat/Level,All Public Utilities,Inside Lot,Gentle Slope,Iowa DOT and Rail Road,Normal,Normal,Single-Family Detached,One and One-Half Story (Finished),Below Average,Below Average,1920,1950,Gable,Standard Shingle,Metal Siding,Metal Siding,,0.0,Average/Typical,Good,Cinder Block,Typical (80-89 inches),Typical,No Exposure,Unfinished,0,Unfinished,0,698,698,Gas Forced Warm Air Furnace,Average/Typical,Yes,Fuse Box over 60 AMP,698,430,0,1128,0,0,1,0,2,1,Typical/Average,6,Typical Functionality,0,,Detached,1980.0,Rough Finished,2,528,Typical/Average,Typical/Average,Paved,30,0,164,0,0,0,,,,0,4,2010,Court Officer Deed/Estate,Abnormal Sale,68400
1281,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,67.0,9808,Paved,,Slightly Irregular,Near Flat/Level,All Public Utilities,Inside Lot,Gentle Slope,College Creek,Normal,Normal,Single-Family Detached,One Story,Good,Average,2002,2002,Gable,Standard Shingle,Vinyl Siding,Vinyl Siding,Brick Face,110.0,Good,Average/Typical,Poured Concrete,Good (90-99 inches),Typical,No Exposure,Good Living Quarters,788,Unfinished,0,785,1573,Gas Forced Warm Air Furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1573,0,0,1573,1,0,2,0,3,1,Good,6,Typical Functionality,0,,Attached,2002.0,Rough Finished,2,544,Typical/Average,Typical/Average,Paved,0,72,0,0,0,0,,,,0,3,2009,Warranty Deed - Conventional,Normal Sale,227000
1282,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,50.0,8049,Paved,,Slightly Irregular,Near Flat/Level,All Public Utilities,Cul-de-sac,Gentle Slope,Timberland,Normal,Normal,Single-Family Detached,One Story,Good,Average,1990,1990,Hip,Standard Shingle,Hard Board,Hard Board,Brick Face,54.0,Average/Typical,Average/Typical,Cinder Block,Good (90-99 inches),Typical,No Exposure,Average Living Quarters,1053,Unfinished,0,256,1309,Gas Forced Warm Air Furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1339,0,0,1339,1,0,2,0,2,1,Typical/Average,6,Typical Functionality,1,Average - Prefabricated Fireplace,Attached,1990.0,Finished,2,484,Good,Good,Paved,0,58,0,0,90,0,,,,0,7,2006,Warranty Deed - Conventional,Normal Sale,180000
1283,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,61.0,8800,Paved,,Slightly Irregular,Near Flat/Level,All Public Utilities,Inside Lot,Gentle Slope,College Creek,Normal,Normal,Single-Family Detached,One Story,Average,Good,1977,2008,Gable,Standard Shingle,Hard Board,Hard Board,,0.0,Average/Typical,Average/Typical,Cinder Block,Good (90-99 inches),Typical,Minimum Exposure,Low Quality,532,Average Rec Room,144,364,1040,Gas Forced Warm Air Furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1040,0,0,1040,0,0,2,0,3,1,Good,5,Typical Functionality,0,,Detached,1977.0,Unfinished,2,484,Typical/Average,Typical/Average,Paved,0,0,0,0,288,0,,,,0,9,2009,Warranty Deed - Conventional,Normal Sale,150500
1284,DUPLEX - ALL STYLES AND AGES,Residential Low Density,94.0,9400,Paved,,Regular,Depression,All Public Utilities,Corner Lot,Gentle Slope,Mitchell,Normal,Normal,,Two Story,Above Average,Average,1971,1971,Mansard,Standard Shingle,Metal Siding,,,0.0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical,Average Exposure,Unfinished,0,Unfinished,0,912,912,Gas Forced Warm Air Furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,912,912,0,1824,0,0,2,2,4,2,Typical/Average,8,Typical Functionality,0,,,,,0,0,,,Paved,128,0,0,0,0,0,,,,0,4,2010,Warranty Deed - Conventional,Normal Sale,139000
1285,1-1/2 STORY FINISHED ALL AGES,Residential Low Density,50.0,9638,Paved,,Regular,Near Flat/Level,All Public Utilities,Inside Lot,Gentle Slope,South & West of ISU,Adjacent to Feeder Street,Normal,Single-Family Detached,One and One-Half Story (Finished),Above Average,Good,1919,1990,Gable,Standard Shingle,Wood Siding,,,0.0,Average/Typical,Average/Typical,Poured Concrete,Typical (80-89 inches),Typical,No Exposure,Unfinished,0,Unfinished,0,804,804,Gas Forced Warm Air Furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1699,748,0,2447,0,0,2,0,4,1,Good,10,Minor Deductions 2,1,Good - Masonry Fireplace,Detached,1969.0,Unfinished,1,336,Typical/Average,Typical/Average,Paved,272,0,42,0,116,0,,,,0,3,2010,Warranty Deed - Conventional,Normal Sale,169000
1286,1-1/2 STORY FINISHED ALL AGES,Residential Medium Density,50.0,6000,Paved,,Regular,Near Flat/Level,All Public Utilities,Inside Lot,Gentle Slope,Brookside,Normal,Normal,Single-Family Detached,One and One-Half Story (Finished),Above Average,Above Average,1939,1950,Gable,Standard Shingle,Metal Siding,Metal Siding,,0.0,Average/Typical,Fair,Cinder Block,Typical (80-89 inches),Typical,No Exposure,Unfinished,0,Unfinished,0,780,780,Gas Forced Warm Air Furnace,Excellent,Yes,60 AMP Fuse Box,825,587,0,1412,0,0,1,0,4,1,Typical/Average,6,Typical Functionality,1,Good - Masonry Fireplace,Detached,1939.0,Unfinished,1,280,Typical/Average,Typical/Average,Paved,45,0,0,0,0,0,,,,0,5,2009,Warranty Deed - Conventional,Normal Sale,132500
1287,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,,9790,Paved,,Regular,Near Flat/Level,All Public Utilities,Inside Lot,Gentle Slope,Northwest Ames,Adjacent to Feeder Street,Normal,Single-Family Detached,One Story,Above Average,Average,1963,1963,Hip,Standard Shingle,Hard Board,Hard Board,Brick Face,451.0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical,No Exposure,Average Living Quarters,569,Average Rec Room,81,678,1328,Gas Forced Warm Air Furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1328,0,0,1328,1,0,1,1,3,1,Typical/Average,6,Typical Functionality,2,Good - Masonry Fireplace,Attached,1963.0,Unfinished,2,528,Typical/Average,Typical/Average,Paved,0,26,0,0,0,0,,,,0,6,2010,Warranty Deed - Conventional,Normal Sale,143000
